rq1_scheme_decision_id,scheme_id,paper_id,dataset_id,dimension,outcome,condition_pair,complete_class_count,common_pair_class_count,complete_scheme_verified,stable_semantics_verified,condition_membership_recoverable,fresh_parent_traffic_both_values,evidence_ids,decision_basis,confidence
R1S0001,SCH0001,P05927,DS-P05927-PROTOCOL-REPOSITORY,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1688 | EVD1686 | EVD1687,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0002,SCH0001,P05927,DS-P05927-PROTOCOL-REPOSITORY,network,not_documented,,2,,yes,yes,unknown,unknown,EVD1688 | EVD1686 | EVD1687,The available paper and dataset evidence does not map every label to two recoverable network values.,medium
R1S0003,SCH0001,P05927,DS-P05927-PROTOCOL-REPOSITORY,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1688 | EVD1686 | EVD1687,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0004,SCH0002,P07480,DS-ISCX-TOR-2016,client,not_documented,,8,,yes,unknown,unknown,unknown,EVD1885,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0005,SCH0002,P07480,DS-ISCX-TOR-2016,network,documented_no_support,,8,0,yes,yes,yes,unknown,EVD0827,The documented contrast changes only a Tor overlay and does not establish two qualifying physical network values.,high
R1S0006,SCH0002,P07480,DS-ISCX-TOR-2016,temporal,not_documented,,8,,yes,unknown,unknown,unknown,EVD1885,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0007,SCH0003,P07480,DS-CIC-IOT-2022,client,not_documented,,10,,yes,unknown,unknown,unknown,EVD1883,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0008,SCH0003,P07480,DS-CIC-IOT-2022,network,not_documented,,10,,yes,unknown,unknown,unknown,EVD1883,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0009,SCH0003,P07480,DS-CIC-IOT-2022,temporal,not_documented,,10,,yes,unknown,unknown,unknown,EVD1883,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0010,SCH0004,P07480,DS-CROSS-PLATFORM-2017,client,not_documented,,411,,yes,unknown,unknown,unknown,EVD0837,"Android/iOS diversity exists globally, but no common application-class mapping across the OS conditions is documented; the 31-app follow-up stack is also unreported.",high
R1S0011,SCH0004,P07480,DS-CROSS-PLATFORM-2017,network,not_documented,,411,,yes,unknown,unknown,unknown,EVD1884,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0012,SCH0004,P07480,DS-CROSS-PLATFORM-2017,temporal,not_documented,,411,,yes,unknown,unknown,unknown,EVD1884,The original Cross-Platform corpus does not document a within-dataset class-overlapping temporal condition map; the later recapture is evaluated only as a cross-dataset protocol.,high
R1S0013,SCH0005,P07480,DS-ISCX-VPN-2016,client,not_documented,,7,,yes,unknown,unknown,unknown,EVD1886,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0014,SCH0005,P07480,DS-ISCX-VPN-2016,network,documented_no_support,,7,0,yes,yes,yes,unknown,EVD0845,The documented contrast changes only a VPN overlay and does not establish two qualifying physical network values.,high
R1S0015,SCH0005,P07480,DS-ISCX-VPN-2016,temporal,not_documented,,7,,yes,unknown,unknown,unknown,EVD1886,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0016,SCH0006,P07480,DS-USTC-TFC-2016,client,not_documented,,20,,yes,unknown,unknown,unknown,EVD1129,"Client hardware, OS, application/malware versions, and within-class mappings are absent from the release manifest.",medium
R1S0017,SCH0006,P07480,DS-USTC-TFC-2016,network,not_documented,,20,,yes,unknown,unknown,unknown,EVD1129,"Capture provenance differs across parts of the corpus, but class-addressable site/access/provider conditions within every class are not documented.",medium
R1S0018,SCH0006,P07480,DS-USTC-TFC-2016,temporal,not_documented,,20,,yes,unknown,unknown,unknown,EVD1129,Class-named capture files lack a versioned timestamp/campaign manifest; file separation does not prove a single or multiple temporal condition within a class.,medium
R1S0019,SCH0007,P11328,DS-CIC-IOT-2022,client,not_documented,,3,,yes,yes,unknown,unknown,EVD1691 | EVD1689 | EVD1690,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0020,SCH0007,P11328,DS-CIC-IOT-2022,network,not_documented,,3,,yes,yes,unknown,unknown,EVD1691 | EVD1689 | EVD1690,The available paper and dataset evidence does not map every label to two recoverable network values.,medium
R1S0021,SCH0007,P11328,DS-CIC-IOT-2022,temporal,not_documented,,3,,yes,yes,unknown,unknown,EVD1691 | EVD1689 | EVD1690,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0022,SCH0008,P11328,DS-QUIC-2019,client,not_documented,,3,,yes,yes,unknown,unknown,EVD1691 | EVD1689 | EVD1690,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0023,SCH0008,P11328,DS-QUIC-2019,network,not_documented,,3,,yes,yes,unknown,unknown,EVD1691 | EVD1689 | EVD1690,The available paper and dataset evidence does not map every label to two recoverable network values.,medium
R1S0024,SCH0008,P11328,DS-QUIC-2019,temporal,not_documented,,3,,yes,yes,unknown,unknown,EVD1691 | EVD1689 | EVD1690,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0025,SCH0009,P11328,DS-ISCX-TOR-2016,client,documented_no_support,,3,,yes,yes,yes,no,EVD1705 | EVD1706,"Malware and benign labels are generated by different pipelines, so no common pair of client values covers both labels.",high
R1S0026,SCH0009,P11328,DS-ISCX-TOR-2016,network,documented_no_support,,3,,yes,yes,yes,no,EVD1705 | EVD1706,The composite labels do not share the same two documented network values.,high
R1S0027,SCH0009,P11328,DS-ISCX-TOR-2016,temporal,not_documented,,3,,yes,yes,unknown,unknown,EVD1691 | EVD1689 | EVD1690,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0028,SCH0010,P11328,DS-ISCX-VPN-2016,client,not_documented,,3,,yes,yes,unknown,unknown,EVD1691 | EVD1689 | EVD1690,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0029,SCH0010,P11328,DS-ISCX-VPN-2016,network,not_documented,,3,,yes,yes,unknown,unknown,EVD1691 | EVD1689 | EVD1690,The available paper and dataset evidence does not map every label to two recoverable network values.,medium
R1S0030,SCH0010,P11328,DS-ISCX-VPN-2016,temporal,not_documented,,3,,yes,yes,unknown,unknown,EVD1691 | EVD1689 | EVD1690,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0031,SCH0011,P12361,DS-CIC-IDS-2017,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1695 | EVD1692 | EVD1694 | EVD1693,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0032,SCH0011,P12361,DS-CIC-IDS-2017,network,documented_no_support,,2,,yes,yes,yes,no,EVD1695 | EVD1692 | EVD1694 | EVD1693,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0033,SCH0011,P12361,DS-CIC-IDS-2017,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1695 | EVD1692 | EVD1694 | EVD1693,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0034,SCH0012,P12361,DS-CIC-IDS-2017,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1695 | EVD1692 | EVD1694 | EVD1693,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0035,SCH0012,P12361,DS-CIC-IDS-2017,network,documented_no_support,,2,,yes,yes,yes,no,EVD1695 | EVD1692 | EVD1694 | EVD1693,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0036,SCH0012,P12361,DS-CIC-IDS-2017,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1695 | EVD1692 | EVD1694 | EVD1693,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0037,SCH0013,P12361,DS-CIC-IDS-2017,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1695 | EVD1692 | EVD1694 | EVD1693,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0038,SCH0013,P12361,DS-CIC-IDS-2017,network,documented_no_support,,2,,yes,yes,yes,no,EVD1695 | EVD1692 | EVD1694 | EVD1693,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
