rq2_design_decision_id,design_id,paper_id,scheme_ids,dimension,outcome,condition_pair,complete_scheme_verified,condition_grouping_before_sample_split,parent_captures_disjoint,condition_status,evidence_ids,decision_basis,confidence
R2D0001,DES0001,P05927,SCH0001,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1687,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0002,DES0001,P05927,SCH0001,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1687,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0003,DES0001,P05927,SCH0001,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1687,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0004,DES0002,P11328,SCH0007,client,not_documented,,yes,unknown,unknown,unknown_not_reported,EVD1690,Training and test construction does not document whether client membership determines the partition.,medium
R2D0005,DES0002,P11328,SCH0007,network,not_documented,,yes,unknown,unknown,unknown_not_reported,EVD1690,Training and test construction does not document whether network membership determines the partition.,medium
R2D0006,DES0002,P11328,SCH0007,temporal,not_documented,,yes,unknown,unknown,unknown_not_reported,EVD1690,Training and test construction does not document whether temporal membership determines the partition.,medium
R2D0007,DES0003,P11328,SCH0008,client,not_documented,,yes,unknown,unknown,unknown_not_reported,EVD1690,Training and test construction does not document whether client membership determines the partition.,medium
R2D0008,DES0003,P11328,SCH0008,network,not_documented,,yes,unknown,unknown,unknown_not_reported,EVD1690,Training and test construction does not document whether network membership determines the partition.,medium
R2D0009,DES0003,P11328,SCH0008,temporal,not_documented,,yes,unknown,unknown,unknown_not_reported,EVD1690,Training and test construction does not document whether temporal membership determines the partition.,medium
R2D0010,DES0004,P11328,SCH0009,client,not_documented,,yes,unknown,unknown,unknown_not_reported,EVD1690,Training and test construction does not document whether client membership determines the partition.,medium
R2D0011,DES0004,P11328,SCH0009,network,not_documented,,yes,unknown,unknown,unknown_not_reported,EVD1690,Training and test construction does not document whether network membership determines the partition.,medium
R2D0012,DES0004,P11328,SCH0009,temporal,not_documented,,yes,unknown,unknown,unknown_not_reported,EVD1690,Training and test construction does not document whether temporal membership determines the partition.,medium
R2D0013,DES0005,P11328,SCH0010,client,not_documented,,yes,unknown,unknown,unknown_not_reported,EVD1690,Training and test construction does not document whether client membership determines the partition.,medium
R2D0014,DES0005,P11328,SCH0010,network,not_documented,,yes,unknown,unknown,unknown_not_reported,EVD1690,Training and test construction does not document whether network membership determines the partition.,medium
R2D0015,DES0005,P11328,SCH0010,temporal,not_documented,,yes,unknown,unknown,unknown_not_reported,EVD1690,Training and test construction does not document whether temporal membership determines the partition.,medium
R2D0016,DES0006,P12361,SCH0011,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0017,DES0006,P12361,SCH0011,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0018,DES0006,P12361,SCH0011,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0019,DES0007,P12361,SCH0012,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0020,DES0007,P12361,SCH0012,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0021,DES0007,P12361,SCH0012,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0022,DES0008,P12361,SCH0013,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0023,DES0008,P12361,SCH0013,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0024,DES0008,P12361,SCH0013,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0025,DES0009,P12361,SCH0014,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0026,DES0009,P12361,SCH0014,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0027,DES0009,P12361,SCH0014,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0028,DES0010,P12361,SCH0015,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0029,DES0010,P12361,SCH0015,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0030,DES0010,P12361,SCH0015,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0031,DES0011,P12361,SCH0016,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0032,DES0011,P12361,SCH0016,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0033,DES0011,P12361,SCH0016,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0034,DES0012,P12361,SCH0017,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0035,DES0012,P12361,SCH0017,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0036,DES0012,P12361,SCH0017,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
