design_id,paper_id,task_family,task_name,label_semantics,class_cardinality,class_type,dataset_ids,scheme_ids,training_description,validation_description,test_description,split_design_primary,split_design_secondary,split_unit,split_grouping,eligibility_status,exclusion_reason,evidence_ids
DES0001,P05927,semantic_inference,VoIP RTP stream detection,RTP VoIP media versus non-RTP traffic,2,binary,DS-P05927-PROTOCOL-REPOSITORY,SCH0001,Randomly undersampled 60 percent training portion,Not reported,Random 40 percent test portion,random_holdout,class_balancing,packet_stream,sample_level,eligible,,EVD1687
DES0002,P11328,semantic_inference,CICIoT2022 traffic category classification,dataset-defined encrypted traffic categories,3,multiclass,DS-CIC-IOT-2022,SCH0007,Supervised training is reported,Not reported,Held-out evaluation is reported,reported_holdout,partition_details_not_reported,flow,not_reported,eligible,,EVD1690
DES0003,P11328,semantic_inference,QUIC2019 traffic category classification,dataset-defined encrypted traffic categories,3,multiclass,DS-QUIC-2019,SCH0008,Supervised training is reported,Not reported,Held-out evaluation is reported,reported_holdout,partition_details_not_reported,flow,not_reported,eligible,,EVD1690
DES0004,P11328,semantic_inference,ISCX-Tor2016 traffic category classification,dataset-defined encrypted traffic categories,3,multiclass,DS-ISCX-TOR-2016,SCH0009,Supervised training is reported,Not reported,Held-out evaluation is reported,reported_holdout,partition_details_not_reported,flow,not_reported,eligible,,EVD1690
DES0005,P11328,semantic_inference,ISCX-VPN2016 traffic category classification,dataset-defined encrypted traffic categories,3,multiclass,DS-ISCX-VPN-2016,SCH0010,Supervised training is reported,Not reported,Held-out evaluation is reported,reported_holdout,partition_details_not_reported,flow,not_reported,eligible,,EVD1690
DES0006,P12361,security_state_classification,Bot traffic detection,benign versus Bot attack traffic,2,binary,DS-CIC-IDS-2017,SCH0011,Within-file 40 or 70 percent training portion,Within-file 10 percent validation portion,Within-file 50 or 20 percent test portion,percentage_holdout,attack_file_specific,flow,sample_level_within_file,eligible,,EVD1694 | EVD1693
DES0007,P12361,security_state_classification,DDoS traffic detection,benign versus DDoS attack traffic,2,binary,DS-CIC-IDS-2017,SCH0012,Within-file 40 or 70 percent training portion,Within-file 10 percent validation portion,Within-file 50 or 20 percent test portion,percentage_holdout,attack_file_specific,flow,sample_level_within_file,eligible,,EVD1694 | EVD1693
DES0008,P12361,security_state_classification,Infiltration traffic detection,benign versus Infiltration attack traffic,2,binary,DS-CIC-IDS-2017,SCH0013,Within-file 40 or 70 percent training portion,Within-file 10 percent validation portion,Within-file 50 or 20 percent test portion,percentage_holdout,attack_file_specific,flow,sample_level_within_file,eligible,,EVD1694 | EVD1693
DES0009,P12361,security_state_classification,MultiDos traffic detection,benign versus MultiDos attack traffic,2,binary,DS-CIC-IDS-2017,SCH0014,Within-file 40 or 70 percent training portion,Within-file 10 percent validation portion,Within-file 50 or 20 percent test portion,percentage_holdout,attack_file_specific,flow,sample_level_within_file,eligible,,EVD1694 | EVD1693
DES0010,P12361,security_state_classification,Patator traffic detection,benign versus Patator attack traffic,2,binary,DS-CIC-IDS-2017,SCH0015,Within-file 40 or 70 percent training portion,Within-file 10 percent validation portion,Within-file 50 or 20 percent test portion,percentage_holdout,attack_file_specific,flow,sample_level_within_file,eligible,,EVD1694 | EVD1693
DES0011,P12361,security_state_classification,PortScan traffic detection,benign versus PortScan attack traffic,2,binary,DS-CIC-IDS-2017,SCH0016,Within-file 40 or 70 percent training portion,Within-file 10 percent validation portion,Within-file 50 or 20 percent test portion,percentage_holdout,attack_file_specific,flow,sample_level_within_file,eligible,,EVD1694 | EVD1693
DES0012,P12361,security_state_classification,WebAttacks traffic detection,benign versus WebAttacks attack traffic,2,binary,DS-CIC-IDS-2017,SCH0017,Within-file 40 or 70 percent training portion,Within-file 10 percent validation portion,Within-file 50 or 20 percent test portion,percentage_holdout,attack_file_specific,flow,sample_level_within_file,eligible,,EVD1694 | EVD1693
DES0013,P12361,security_state_classification,UNSW-NB15 malicious traffic detection,benign versus any of nine attack types,2,binary,DS-UNSW-NB15,SCH0018,Within-dataset 70 percent training portion,Within-dataset 10 percent validation portion,Within-dataset 20 percent test portion,percentage_holdout,pooled_attack_types,flow,sample_level,eligible,,EVD1694 | EVD1693
DES0014,P13937,security_state_classification,Cross-dataset intrusion classification,benign versus attack traffic,2,binary,DS-KDDCUP-99 | DS-UNSW-NB15,SCH0031 | SCH0032,NSL-KDD source plus labeled UNSW-NB15 target samples for adaptation,Target-domain samples guide adaptation,UNSW-NB15 target-domain test records,cross_dataset_domain_adaptation,target_samples_used_in_training,flow_record,dataset_provenance,eligible,,EVD1699
DES0015,P13937,security_state_classification,Held-out exploits attack detection,benign versus exploits attack traffic,2,binary,DS-UNSW-NB15,SCH0033,"Benign traffic and eight source attack categories, including target-domain adaptation samples",Target samples participate in model selection,Benign traffic and the held-out exploits category,adversarial_domain_adaptation,label_defined_domains,flow_record,attack_label_grouping,eligible,,EVD1698
DES0016,P13937,security_state_classification,Held-out reconnaissance attack detection,benign versus reconnaissance attack traffic,2,binary,DS-UNSW-NB15,SCH0034,"Benign traffic and eight source attack categories, including target-domain adaptation samples",Target samples participate in model selection,Benign traffic and the held-out reconnaissance category,adversarial_domain_adaptation,label_defined_domains,flow_record,attack_label_grouping,eligible,,EVD1698
DES0017,P13937,security_state_classification,Held-out shellcode attack detection,benign versus shellcode attack traffic,2,binary,DS-UNSW-NB15,SCH0035,"Benign traffic and eight source attack categories, including target-domain adaptation samples",Target samples participate in model selection,Benign traffic and the held-out shellcode category,adversarial_domain_adaptation,label_defined_domains,flow_record,attack_label_grouping,eligible,,EVD1698
DES0018,P14441,security_state_classification,CIC-AndMal2017 malware detection across PCAP and compound representations,benign versus malicious Android application traffic,2,binary,DS-CIC-ANDMAL-2017,SCH0076,Training PCAP partition before path mixing,Nested validation folds,Disjoint test PCAP partition,nested_cross_validation,pcap_partition_before_mixing,pcap,sample_level,eligible,,EVD1702 | EVD1703
DES0019,P14441,security_state_classification,ZooBazzar 2024 malware detection across PCAP and compound representations,benign versus malicious Android application traffic,2,binary,DS-P14441-ZOOBAZAAR2024,SCH0077,Training PCAP partition before path mixing,Nested validation folds,Disjoint test PCAP partition,nested_cross_validation,pcap_partition_before_mixing,pcap,sample_level,eligible,,EVD1702 | EVD1703
DES0020,P14955,security_state_classification,Tor malware detection with binary-disjoint splitting,benign Tor browsing versus Tor malware traffic,2,binary,DS-ISCX-TOR-2016 | DS-P14955-TOR-MALWARE-INITIAL-2021,SCH0088 | SCH0089,Malware binaries assigned to training only,Not reported,Different malware binaries assigned to testing,grouped_holdout,malware_binary_disjoint,pcap,malware_binary,eligible,,EVD1707
