dataset_id,canonical_name,origin_type,collection_years,capture_provenance,dataset_boundary_basis,canonical_citation_key,canonical_citation,doi,canonical_url,identity_confidence,paper_ids,scheme_ids,use_ids,evidence_ids
DS-ANDRUBIS,Andrubis Android malware network traffic corpus,external_reused,,Network traces produced by Android applications executed in the Andrubis dynamic-analysis sandbox.,Retained as a separately named or independently provenanced traffic corpus.,lindorfer2014andrubis,"Martina Lindorfer, Matthias Neugschwandtner, Lukas Weichselbaum, Yanick Fratantonio, Victor van der Veen, and Christian Platzer. 2014. Andrubis - 1,000,000 Apps Later: A View on Current Android Malware Behaviors. BADGERS.",,https://drive.google.com/drive/folders/1IXa3IJS9zJS4vggpyU7yda8f7jZjz4gB,high,P17818,SCH0199 | SCH0204 | SCH0205,USE0123,EVD0791 | EVD0819 | EVD0841 | EVD2007 | EVD2012 | EVD2015 | EVD2016
DS-ANOSHIFT,AnoShift,external_reused,2006-2015,Kyoto 2006+ traffic from five university subnetworks organized into ten yearly task units with benign and anomalous traffic.,Independently named temporal shift benchmark.,ds_anoshift,AnoShift benchmark built over Kyoto 2006+ traffic.,,https://github.com/bit-ml/AnoShift,high,P26148,SCH0223,USE0139,EVD1802 | EVD1803 | EVD1812 | EVD1813
DS-AUCKLAND-VI-2001,Auckland VI Internet Traffic Trace,external_reused,2001,Header trace collected by the University of Auckland WAND Network Research Group in May 2001.,Retained as a separately named or independently provenanced traffic corpus.,wand2001aucklandvi,WAND Network Research Group. 2001. Auckland VI traces. Waikato Internet Traffic Storage.,,https://labs.ripe.net/datarepository/data-sets/the-waikato-internet-traffic-storage-wits-passive-datasets/,high,P39497,SCH0252,USE0166,EVD0738 | EVD0849 | EVD2066
DS-AWF-2017,Automated Website Fingerprinting (AWF) corpus,external_reused,2017,"Large Tor website trace corpus released by Rimmer et al.; GANDaLF creates labeled, unlabeled, and open-world partitions. || Tor traffic collected by Rimmer et al. in 2017 with Tor Browser 6.5; the evaluated paper repartitions the same sample pool. || Large Tor website-trace corpus released by Rimmer et al.; AWF100, AWF775, and AWF9000 are partitions rather than fresh captures.",Retained as a separately named or independently provenanced traffic corpus.,rimmer2018awf,"Vera Rimmer, Davy Preuveneers, Marc Juarez, Tom Van Goethem, and Wouter Joosen. 2018. Automated Website Fingerprinting through Deep Learning. In NDSS.",,https://github.com/DistriNet/DLWF#datasets-used-for-the-evaluation,high,P14188 | P15385 | P46522 | P48246,SCH0055 | SCH0057 | SCH0092 | SCH0093 | SCH0094 | SCH0379 | SCH0381 | SCH0415,USE0029 | USE0046 | USE0246 | USE0266,EVD0536 | EVD0627 | EVD0790 | EVD0813 | EVD0817 | EVD0830 | EVD0886 | EVD1145 | EVD1146 | EVD1176 | EVD1178 | EVD1195 | EVD1908 | EVD1910 | EVD1948 | EVD1949 | EVD1950 | EVD1954 | EVD2178 | EVD2181 | EVD2182 | EVD2227
DS-AWID3,AWID3 IEEE 802.11 intrusion corpus,external_reused,2021,AWID3 wireless packet captures decrypted with supplied keys and separated with provided malicious and benign filters.,Retained as the named AWID3 source corpus.,p16406,Lumen: a framework for developing and evaluating ML-based IoT network anomaly detection.,10.1145/3555050.3569129,https://doi.org/10.1145/3555050.3569129,high,P16406,SCH0173,USE0104,EVD1640 | EVD1642 | EVD1655 | EVD1746
DS-BOOTERS-2015,Booters attack-source and packet corpus,external_reused,2015,Attack-source observations and a Booter1 DNS packet source from the prior booter study.,Independently named source with distinct provenance.,ds_booters_2015,Karami et al. Stress Testing the Booters. WWW 2016.,,,high,P41311,SCH0269,USE0179,EVD1846 | EVD1850
DS-BOT-IOT,Bot-IoT,external_reused,,Realistic IoT network environment and botnet attack traffic collected by Koroniotis et al.,Retained as a separately named or independently provenanced traffic corpus.,koroniotis2019botiot,"Nickolaos Koroniotis, Nour Moustafa, Elena Sitnikova, and Benjamin Turnbull. 2019. Towards the development of realistic botnet dataset in the Internet of Things for network forensic analytics: Bot-IoT dataset. Future Generation Computer Systems.",,https://unsw-my.sharepoint.com/:f:/g/personal/z5131399_ad_unsw_edu_au/EjlBDf2KODxPgXmqbO3MxxsBBVARCKZxGUG47OiFHb_AnQ,high,P38761,SCH0236,USE0150,EVD0528 | EVD0836 | EVD1144 | EVD2039
DS-BTU-MALWARE,BTU malware-traffic corpus,external_reused,,BTU malware-traffic corpus contains 2 retained traffic components.,BTU-Mobile and BTU-Desktop are device/scenario components of the same cited BTU corpus.,matousek2024btu,"Petr Matousek, Ondrej Rysavy, and Ivana Burgetova. 2024. Experience Report: Using JA4+ Fingerprints for Malware Detection in Encrypted Traffic. CNSM.",10.23919/CNSM62983.2024.10814358,https://doi.org/10.23919/CNSM62983.2024.10814358,high,P17269,SCH0184 | SCH0185,USE0112,EVD0571 | EVD0884 | EVD1987 | EVD1988
DS-CIC-ANDMAL-2017,CIC-AndMal2017,external_reused,2017,Android benign and malware application traffic captured for the CIC-AndMal2017 release.,Retained separately from CICInvesAndMal2019 because the releases contain independently collected application executions.,lashkari2018andmal2017,Arash Habibi Lashkari et al. 2018. Toward Developing a Systematic Approach to Generate Benchmark Android Malware Datasets and Classification.,10.1109/CCST.2018.8585560,https://www.unb.ca/cic/datasets/andmal2017.html,high,P14441 | P16248,SCH0076 | SCH0144,USE0035 | USE0088,EVD1701 | EVD1702 | EVD1703 | EVD1704 | EVD1738 | EVD1739 | EVD1740 | EVD1741
DS-CIC-DDOS-2019,CIC-DDoS2019,external_reused,2019,Canadian Institute for Cybersecurity distributed denial-of-service traffic corpus.,Retained as a separately named CIC traffic release.,,,,https://www.unb.ca/cic/datasets/ddos-2019.html,high,P15558 | P16004 | P16208 | P16248 | P16406 | P41311,SCH0098 | SCH0111 | SCH0127 | SCH0148 | SCH0164 | SCH0270,USE0048 | USE0059 | USE0073 | USE0089 | USE0100 | USE0177,EVD1636 | EVD1639 | EVD1641 | EVD1646 | EVD1710 | EVD1711 | EVD1712 | EVD1714 | EVD1716 | EVD1732 | EVD1734 | EVD1738 | EVD1739 | EVD1740 | EVD1741 | EVD1747 | EVD1847 | EVD1850
DS-CIC-IDS-2017,CIC-IDS2017,external_reused,2017,"Canadian Institute for Cybersecurity 2017 intrusion traffic capture. || CIC intrusion-detection traffic collected in 2017 and described by Sharafaldin et al. || Canadian Institute for Cybersecurity 2017 intrusion-traffic capture. Natural-noise analyses, class subsets, and cross-time uses do not alter sample provenance.",Retained as a separately named or independently provenanced traffic corpus.,sharafaldin2018cicids2017,"Iman Sharafaldin, Arash Habibi Lashkari, and Ali A. Ghorbani. 2018. Toward Generating a New Intrusion Detection Dataset and Intrusion Traffic Characterization. ICISSP, 108-116.",10.5220/0006639801080116,https://doi.org/10.5220/0006639801080116,high,P12361 | P14774 | P15558 | P16208 | P16248 | P16406 | P17148 | P26148 | P38798 | P47085,SCH0011 | SCH0012 | SCH0013 | SCH0014 | SCH0015 | SCH0016 | SCH0017 | SCH0079 | SCH0081 | SCH0087 | SCH0096 | SCH0128 | SCH0145 | SCH0161 | SCH0162 | SCH0163 | SCH0181 | SCH0224 | SCH0240 | SCH0389 | SCH0392 | SCH0393,USE0011 | USE0042 | USE0053 | USE0077 | USE0095 | USE0105 | USE0108 | USE0140 | USE0152 | USE0252,EVD0504 | EVD0668 | EVD0683 | EVD0700 | EVD0801 | EVD0846 | EVD0855 | EVD0878 | EVD0885 | EVD1143 | EVD1153 | EVD1175 | EVD1184 | EVD1201 | EVD1639 | EVD1641 | EVD1643 | EVD1644 | EVD1645 | EVD1692 | EVD1693 | EVD1694 | EVD1695 | EVD1710 | EVD1711 | EVD1712 | EVD1714 | EVD1730 | EVD1732 | EVD1734 | EVD1738 | EVD1739 | EVD1740 | EVD1741 | EVD1748 | EVD1759 | EVD1761 | EVD1762 | EVD1802 | EVD1804 | EVD1812 | EVD1813 | EVD1933 | EVD1941 | EVD1946 | EVD1947 | EVD2043 | EVD2189 | EVD2193 | EVD2195 | EVD2196 | EVD2198
