record_id,title,venue,venue_family,year,route_G,route_R,route_P,route_membership,abstract_available,eligibility_decision,reason_code,reason_label,decision_evidence
P00043,A Multi-Unit Profit Competitive Mechanism for Cellular Traffic Offloading.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: A Multi-Unit Profit Competitive Mechanism for Cellular Traffic Offloading.
P00100,Actor Critic Deep Reinforcement Learning for Neural Malware Control.,AAAI,Artificial intelligence,2020,true,false,true,G | P,true,Excluded,E03,No qualifying traffic input,DBLP title: Actor Critic Deep Reinforcement Learning for Neural Malware Control.
P00182,Answering Conjunctive Queries with Inequalities in DL-Liteℛ.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Answering Conjunctive Queries with Inequalities in DL-Liteℛ.
P00311,Checking Chase Termination over Ontologies of Existential Rules with Equality.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Checking Chase Termination over Ontologies of Existential Rules with Equality.
P00370,Controlling Neural Machine Translation Formality with Synthetic Supervision.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Controlling Neural Machine Translation Formality with Synthetic Supervision.
P00379,Corpus Wide Argument Mining - A Working Solution.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Corpus Wide Argument Mining - A Working Solution.
P00438,Deep Reservoir Computing Meets 5G MIMO-OFDM Systems in Symbol Detection.,AAAI,Artificial intelligence,2020,false,false,true,P,true,Excluded,E09,Defense or obfuscation,Title and abstract describe a defense or mitigation without a qualifying classifier.
P00499,Diversity Transfer Network for Few-Shot Learning.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Diversity Transfer Network for Few-Shot Learning.
P00527,Dynamic Malware Analysis with Feature Engineering and Feature Learning.,AAAI,Artificial intelligence,2020,true,false,true,G | P,true,Excluded,E03,No qualifying traffic input,DBLP title: Dynamic Malware Analysis with Feature Engineering and Feature Learning.
P00599,Event-Driven Continuous Time Bayesian Networks.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Event-Driven Continuous Time Bayesian Networks.
P00602,Exact and Efficient Inference for Collective Flow Diffusion Model via Minimum Convex Cost Flow Algorithm.,AAAI,Artificial intelligence,2020,true,false,true,G | P,true,Excluded,E03,No qualifying traffic input,"The study's input is non-network-domain data or derived artifacts rather than network packets, flows, sessions, or traffic traces."
P00644,Fast and Deep Graph Neural Networks.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Fast and Deep Graph Neural Networks.
P00676,Finding Needles in a Moving Haystack: Prioritizing Alerts with Adversarial Reinforcement Learning.,AAAI,Artificial intelligence,2020,false,true,false,R,true,Excluded,E03,No qualifying traffic input,"Title and abstract do not establish a classifier-facing population of passive packets, flows, sessions, or traffic traces."
P00745,GMAN: A Graph Multi-Attention Network for Traffic Prediction.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: GMAN: A Graph Multi-Attention Network for Traffic Prediction.
P00765,Graph-Based Reasoning over Heterogeneous External Knowledge for Commonsense Question Answering.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Graph-Based Reasoning over Heterogeneous External Knowledge for Commonsense Question Answering.
P00836,iFAN: Image-Instance Full Alignment Networks for Adaptive Object Detection.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: iFAN: Image-Instance Full Alignment Networks for Adaptive Object Detection.
P00837,Image Cropping with Composition and Saliency Aware Aesthetic Score Map.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Image Cropping with Composition and Saliency Aware Aesthetic Score Map.
P00891,Instance-Wise Dynamic Sensor Selection for Human Activity Recognition.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,"The study's input is human-activity sensor/video data rather than network packets, flows, sessions, or traffic traces."
P00918,IWE-Net: Instance Weight Network for Locating Negative Comments and its application to improve Traffic User Experience.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: IWE-Net: Instance Weight Network for Locating Negative Comments and its application to improve Traffic User Experience.
P01056,Linguistic Fingerprints of Internet Censorship: The Case of Sina Weibo.,AAAI,Artificial intelligence,2020,false,false,true,P,true,Excluded,E03,No qualifying traffic input,"Title and abstract do not establish a classifier-facing population of passive packets, flows, sessions, or traffic traces."
P01106,MetaLight: Value-Based Meta-Reinforcement Learning for Traffic Signal Control.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: MetaLight: Value-Based Meta-Reinforcement Learning for Traffic Signal Control.
P01109,Midas: Microcluster-Based Detector of Anomalies in Edge Streams.,AAAI,Artificial intelligence,2020,false,true,false,R,true,Excluded,E05,No supervised fixed-label task,"Title and abstract describe unsupervised, one-class, or clustering analysis."
P01172,Multi-Range Attentive Bicomponent Graph Convolutional Network for Traffic Forecasting.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Multi-Range Attentive Bicomponent Graph Convolutional Network for Traffic Forecasting.
