normalization_id,entity_type,operation,public_entity_ids,normalized_field,normalized_value,evidence_ids,decision_basis
SN0001,dataset,canonicalize_dataset_boundary,DS-KDDCUP-99,,,,NSL-KDD is treated as a cleaned release within the KDD Cup 1999 source boundary.
SN0002,dataset,canonicalize_dataset_boundary,DS-P42427-FOAP-AUTO,,,,The FOAP alias and the automated FOAP corpus identify the same collected source.
SN0003,dataset,canonicalize_dataset_boundary,DS-MALWARE-TRAFFIC-ANALYSIS-NET,,,,The paper-specific Malware Traffic Analysis selection is a component of the named archive rather than a new source.
SN0004,dataset,replace_composite_with_source_datasets,DS-MAWI | DS-BOOTERS-2015 | DS-CIC-DDOS-2019 | DS-SUCURI-SSDP-2014,,,EVD1842,The fused scenarios combine independently collected traffic sources and are not a new collected dataset.
SN0005,dataset,replace_composite_with_source_datasets,DS-MAWI | DS-CIC-DDOS-2019,,,EVD1716,The synthesized FlowSentry input combines MAWI benign traffic with CIC-DDoS2019 attack traffic and is not a new collected source.
SN0006,dataset,retain_source_provenance,DS-FRGP-MIRAI-2016,,,EVD1848,Retain source provenance even though this source does not supply a qualifying complete or partial classifier scheme.
SN0007,dataset,retain_source_provenance,DS-P39403-SELF-ATTACK-2021,,,EVD1830,Retain source provenance for the separately collected one-class attack set.
SN0008,design,merge_equivalent_designs,DES0018,,,,The PCAP and compound representations use the same partition and are one evaluation design.
SN0009,design,merge_equivalent_designs,DES0019,,,,The PCAP and compound representations use the same partition and are one evaluation design.
SN0010,design,merge_equivalent_designs,DES0533,,,,The two classifier variants share one training and test construction.
SN0011,design,set_normalized_field,DES0018,task_name,CIC-AndMal2017 malware detection across PCAP and compound representations,,Merged representation variants share one evaluation partition.
SN0012,design,set_normalized_field,DES0019,task_name,ZooBazzar 2024 malware detection across PCAP and compound representations,,Merged representation variants share one evaluation partition.
SN0013,design,set_normalized_field,DES0533,task_name,IDS2017 to IDS2018 supervised multiclass transfer,,Merged classifier variants share one evaluation partition.
SN0014,design,set_normalized_field,DES0036,dataset_ids,DS-MAWI | DS-CIC-DDOS-2019,EVD1716,Replace the synthesized composite with its independently collected traffic sources.
SN0015,design,set_normalized_field,DES0036,scheme_ids,SCH0114 | SCH0111,EVD1716,Link the design to the two partial component schemes.
SN0016,design,set_normalized_field,DES0150,dataset_ids,DS-MAWI | DS-BOOTERS-2015 | DS-CIC-DDOS-2019 | DS-SUCURI-SSDP-2014,EVD1842,Replace the fused composite with the four independently collected traffic sources.
SN0017,design,set_normalized_field,DES0150,scheme_ids,SCH0271 | SCH0269 | SCH0270 | SCH0272,EVD1842,Link the standard design to all four partial component schemes.
